 &SRS
 SRSRUN=31,SRSDAT=201695,SRSTIM=103821,
 SRSSTN='null',SRSPRJ='null    ',SRSEXP='null    ',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
Angle (Degrees)	Position (Steps)	picamera
0	0	31/000001.jpg
0.966796875	11	31/000002.jpg
2.021484375	23	31/000003.jpg
2.98828125	34	31/000004.jpg
4.04296875	46	31/000005.jpg
5.009765625	57	31/000006.jpg
5.9765625	68	31/000007.jpg
7.03125	80	31/000008.jpg
7.998046875	91	31/000009.jpg
8.96484375	102	31/000010.jpg
10.01953125	114	31/000011.jpg
10.986328125	125	31/000012.jpg
12.041015625	137	31/000013.jpg
13.0078125	148	31/000014.jpg
13.974609375	159	31/000015.jpg
15.029296875	171	31/000016.jpg
15.99609375	182	31/000017.jpg
16.962890625	193	31/000018.jpg
18.017578125	205	31/000019.jpg
18.984375	216	31/000020.jpg
20.0390625	228	31/000021.jpg
21.005859375	239	31/000022.jpg
21.97265625	250	31/000023.jpg
23.02734375	262	31/000024.jpg
23.994140625	273	31/000025.jpg
24.9609375	284	31/000026.jpg
26.015625	296	31/000027.jpg
26.982421875	307	31/000028.jpg
28.037109375	319	31/000029.jpg
29.00390625	330	31/000030.jpg
29.970703125	341	31/000031.jpg
31.025390625	353	31/000032.jpg
31.9921875	364	31/000033.jpg
32.958984375	375	31/000034.jpg
34.013671875	387	31/000035.jpg
34.98046875	398	31/000036.jpg
36.03515625	410	31/000037.jpg
37.001953125	421	31/000038.jpg
37.96875	432	31/000039.jpg
39.0234375	444	31/000040.jpg
39.990234375	455	31/000041.jpg
40.95703125	466	31/000042.jpg
42.01171875	478	31/000043.jpg
42.978515625	489	31/000044.jpg
44.033203125	501	31/000045.jpg
45.0	512	31/000046.jpg
45.966796875	523	31/000047.jpg
47.021484375	535	31/000048.jpg
47.98828125	546	31/000049.jpg
49.04296875	558	31/000050.jpg
50.009765625	569	31/000051.jpg
50.9765625	580	31/000052.jpg
52.03125	592	31/000053.jpg
52.998046875	603	31/000054.jpg
53.96484375	614	31/000055.jpg
55.01953125	626	31/000056.jpg
55.986328125	637	31/000057.jpg
57.041015625	649	31/000058.jpg
58.0078125	660	31/000059.jpg
58.974609375	671	31/000060.jpg
60.029296875	683	31/000061.jpg
60.99609375	694	31/000062.jpg
61.962890625	705	31/000063.jpg
63.017578125	717	31/000064.jpg
63.984375	728	31/000065.jpg
65.0390625	740	31/000066.jpg
66.005859375	751	31/000067.jpg
66.97265625	762	31/000068.jpg
68.02734375	774	31/000069.jpg
68.994140625	785	31/000070.jpg
69.9609375	796	31/000071.jpg
71.015625	808	31/000072.jpg
71.982421875	819	31/000073.jpg
73.037109375	831	31/000074.jpg
74.00390625	842	31/000075.jpg
74.970703125	853	31/000076.jpg
76.025390625	865	31/000077.jpg
76.9921875	876	31/000078.jpg
77.958984375	887	31/000079.jpg
79.013671875	899	31/000080.jpg
79.98046875	910	31/000081.jpg
81.03515625	922	31/000082.jpg
82.001953125	933	31/000083.jpg
82.96875	944	31/000084.jpg
84.0234375	956	31/000085.jpg
84.990234375	967	31/000086.jpg
85.95703125	978	31/000087.jpg
87.01171875	990	31/000088.jpg
87.978515625	1001	31/000089.jpg
89.033203125	1013	31/000090.jpg
90.0	1024	31/000091.jpg
90.966796875	1035	31/000092.jpg
92.021484375	1047	31/000093.jpg
92.98828125	1058	31/000094.jpg
94.04296875	1070	31/000095.jpg
95.009765625	1081	31/000096.jpg
95.9765625	1092	31/000097.jpg
97.03125	1104	31/000098.jpg
97.998046875	1115	31/000099.jpg
98.96484375	1126	31/000100.jpg
100.01953125	1138	31/000101.jpg
100.986328125	1149	31/000102.jpg
102.041015625	1161	31/000103.jpg
103.0078125	1172	31/000104.jpg
103.974609375	1183	31/000105.jpg
105.029296875	1195	31/000106.jpg
105.99609375	1206	31/000107.jpg
106.962890625	1217	31/000108.jpg
108.017578125	1229	31/000109.jpg
108.984375	1240	31/000110.jpg
110.0390625	1252	31/000111.jpg
111.005859375	1263	31/000112.jpg
111.97265625	1274	31/000113.jpg
113.02734375	1286	31/000114.jpg
113.994140625	1297	31/000115.jpg
114.9609375	1308	31/000116.jpg
116.015625	1320	31/000117.jpg
116.982421875	1331	31/000118.jpg
118.037109375	1343	31/000119.jpg
119.00390625	1354	31/000120.jpg
119.970703125	1365	31/000121.jpg
121.025390625	1377	31/000122.jpg
121.9921875	1388	31/000123.jpg
122.958984375	1399	31/000124.jpg
124.013671875	1411	31/000125.jpg
124.98046875	1422	31/000126.jpg
126.03515625	1434	31/000127.jpg
127.001953125	1445	31/000128.jpg
127.96875	1456	31/000129.jpg
129.0234375	1468	31/000130.jpg
129.990234375	1479	31/000131.jpg
130.95703125	1490	31/000132.jpg
132.01171875	1502	31/000133.jpg
132.978515625	1513	31/000134.jpg
134.033203125	1525	31/000135.jpg
135.0	1536	31/000136.jpg
135.966796875	1547	31/000137.jpg
137.021484375	1559	31/000138.jpg
137.98828125	1570	31/000139.jpg
139.04296875	1582	31/000140.jpg
140.009765625	1593	31/000141.jpg
140.9765625	1604	31/000142.jpg
142.03125	1616	31/000143.jpg
142.998046875	1627	31/000144.jpg
143.96484375	1638	31/000145.jpg
145.01953125	1650	31/000146.jpg
145.986328125	1661	31/000147.jpg
147.041015625	1673	31/000148.jpg
148.0078125	1684	31/000149.jpg
148.974609375	1695	31/000150.jpg
150.029296875	1707	31/000151.jpg
150.99609375	1718	31/000152.jpg
151.962890625	1729	31/000153.jpg
153.017578125	1741	31/000154.jpg
153.984375	1752	31/000155.jpg
