 &SRS
 SRSRUN=29,SRSDAT=201695,SRSTIM=102057,
 SRSSTN='null',SRSPRJ='null    ',SRSEXP='null    ',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
Angle (Degrees)	Position (Steps)	picamera
0	0	29/000001.jpg
0.966796875	11	29/000002.jpg
2.021484375	23	29/000003.jpg
2.98828125	34	29/000004.jpg
4.04296875	46	29/000005.jpg
5.009765625	57	29/000006.jpg
5.9765625	68	29/000007.jpg
7.03125	80	29/000008.jpg
7.998046875	91	29/000009.jpg
8.96484375	102	29/000010.jpg
10.01953125	114	29/000011.jpg
10.986328125	125	29/000012.jpg
12.041015625	137	29/000013.jpg
13.0078125	148	29/000014.jpg
13.974609375	159	29/000015.jpg
15.029296875	171	29/000016.jpg
15.99609375	182	29/000017.jpg
16.962890625	193	29/000018.jpg
18.017578125	205	29/000019.jpg
18.984375	216	29/000020.jpg
20.0390625	228	29/000021.jpg
21.005859375	239	29/000022.jpg
21.97265625	250	29/000023.jpg
23.02734375	262	29/000024.jpg
23.994140625	273	29/000025.jpg
24.9609375	284	29/000026.jpg
26.015625	296	29/000027.jpg
26.982421875	307	29/000028.jpg
28.037109375	319	29/000029.jpg
29.00390625	330	29/000030.jpg
29.970703125	341	29/000031.jpg
31.025390625	353	29/000032.jpg
31.9921875	364	29/000033.jpg
32.958984375	375	29/000034.jpg
34.013671875	387	29/000035.jpg
34.98046875	398	29/000036.jpg
36.03515625	410	29/000037.jpg
37.001953125	421	29/000038.jpg
37.96875	432	29/000039.jpg
39.0234375	444	29/000040.jpg
39.990234375	455	29/000041.jpg
40.95703125	466	29/000042.jpg
42.01171875	478	29/000043.jpg
42.978515625	489	29/000044.jpg
44.033203125	501	29/000045.jpg
45.0	512	29/000046.jpg
45.966796875	523	29/000047.jpg
47.021484375	535	29/000048.jpg
47.98828125	546	29/000049.jpg
49.04296875	558	29/000050.jpg
50.009765625	569	29/000051.jpg
50.9765625	580	29/000052.jpg
52.03125	592	29/000053.jpg
52.998046875	603	29/000054.jpg
